TRPase,pH,T,kcat,kcat_std,KM,KM_std,kcat/KM
TtiTIL,7.0,30,1.49,0.04,0.69,0.07,2159
TtiTIL,8.2,40,1.69,0.04,0.57,0.05,2965
TtiTIL,8.0,45,1.58,0.03,0.37,0.03,4270
AsoTIL,7.0,30,2.33,0.08,0.73,0.1,3192
AsoTIL,8.2,40,2.09,0.08,0.15,0.03,13933
AsoTIL,8.5,65,7.03,0.08,0.13,0.01,54077
PvuTIL,7.0,30,2.11,0.06,0.54,0.06,3907
PvuTIL,8.2,40,2.64,0.04,0.23,0.01,11478
PvuTIL,8.0,50,4.13,0.13,0.21,0.03,19667
PreTIL,7.0,30,3.26,0.1,0.47,0.05,6936
PreTIL,8.2,40,4.54,0.08,0.2,0.02,22700
PreTIL,8.5,50,4.0,0.06,0.3,0.02,13333
EcoTIL,7.0,30,2.12,0.09,0.2,0.04,10600
EcoTIL,8.2,40,2.84,0.04,0.13,0.01,21846
EcoTIL,8.0,45,2.61,0.03,0.18,0.01,14500
VchTIL,7.0,30,4.51,0.18,0.84,0.11,5369
VchTIL,8.2,40,4.38,0.19,0.37,0.07,11838
VchTIL,8.9,40,5.95,0.11,0.17,0.01,35000
